entry,DEtall01,lep_flavour,max_eta,minDeltaR_LJ_0,minDeltaR_LJ_1,Meff,DRlj00,min_DRl0b,min_DRlj_new,DPhij0MET,lead_BjetPt,lead_jet_sumBEff,sublead_jet_sumBEff,scale_nom,pileupEventWeight_090,MV2c10_70_EventWeight,JVT_EventWeight,SherpaNJetWeight,EventNumber,RunYear,MET_RefFinal_et,lep_Pt_0,lep_Eta_0,lep_Phi_0,lep_Pt_1,lep_Eta_1,lep_Phi_1,total_charge,Mll01,Ptll01,DRll01,nJets_OR_T,nJets_OR_T_MV2c10_70,HT_lep,HT_jets,lead_jetPt,sublead_jetPt,lepSFTrigTight,lepSFObjTight,weightS
781,-0.64969885,3,0.5044304,2.0807662,1.4650135,724652.1,2.1370513,2.536352,1.4014637,2.2307003,44559.473,0.0,1.0,8.055111e-08,0.6369129419326782,0.980374276638031,0.9799574613571167,1.0,9621247,2017,121597.16,57544.93,-0.5044304,0.85169613,26681.814,0.14526846,0.7704931,2,26103.646,84166.66,0.6547538,4,1,84226.74,236525.53,80869.31,62069.79,0.9429116,0.9318809,0.0018975449173726376
782,-1.759398,0,1.1009042,1.884371,0.69299775,784652.25,3.2424316,1.884371,1.0276563,2.734734,46721.453,0.0,4.0,7.496566e-08,1.1444342136383057,0.98451167345047,0.9012932777404785,1.0,9620334,2017,58736.54,88938.984,-0.65849376,-1.4192594,35977.996,1.1009042,2.7041929,2,150643.44,75164.33,2.7856648,5,2,124916.984,217954.23,72022.336,46721.453,0.9945758,0.95957136,0.003183210152208089
783,0.31549942,1,1.8969964,2.1701274,0.6399867,920451.25,2.8596404,2.5212216,1.1580964,2.7801142,56846.797,0.0,1.0,1.12514265e-07,1.137723445892334,0.9729481935501099,0.9313424825668335,1.0,9620435,2017,91071.32,44622.92,-1.581497,-0.03164854,24489.63,-1.8969964,1.9103523,-2,55570.73,42404.566,1.9674622,5,1,69112.555,381462.03,134995.39,132307.88,0.9963269,0.946207,0.004791167680127579
784,0.6977907,1,0.5878521,0.6838701,0.4303903,2536795.0,3.1403732,1.9230473,0.3520207,1.1756253,33464.55,2.0,2.0,8.055111e-08,1.1027798652648926,0.8834021091461182,0.9842789769172668,1.0,9620008,2017,129824.62,383153.3,0.5878521,0.7633551,90790.484,-0.10993856,-2.343064,-2,395904.4,292436.4,3.1838267,5,1,473943.8,765737.0,256918.39,202111.22,0.9065145,0.9623645,0.002952305472539832
785,1.6725072,1,1.3079678,0.64666235,0.3723403,2633821.5,1.1602374,1.1602374,0.6416216,2.9511647,367693.9,4.0,4.0,7.430809e-09,1.2938741445541382,1.040024757385254,0.9743653535842896,1.0,9620920,2017,163432.58,296768.4,0.36453936,2.1237836,197275.77,-1.3079678,-1.8711464,-2,632265.6,223619.12,2.834324,5,2,494044.2,807015.94,367693.9,289970.25,0.9652693,0.9706548,0.0003999602871597118
786,1.6376965,1,1.7427603,0.53833246,1.1908562,3118738.5,2.5204885,1.6633114,1.1867143,2.822959,180357.75,0.0,0.0,1.14667024e-07,0.14779335260391235,0.9472779631614685,0.9656720757484436,1.0,9620927,2017,135071.6,49156.758,-0.10506383,1.9518882,24227.787,-1.7427603,-0.7133748,2,92053.34,29775.824,3.1282065,8,1,73384.55,1463145.6,463592.6,330119.75,0.9925537,0.9501717,0.0006405699977489233
787,1.1402481,2,0.8948013,1.009061,1.5360304,924936.56,1.0187258,1.009061,1.69739,2.6961482,35529.8,0.0,0.0,8.055111e-08,1.310654878616333,0.9257619976997375,0.9688050746917725,1.0,9621312,2017,258166.78,107823.72,0.24544668,2.5884385,67344.3,-0.8948013,-0.5256639,2,198869.2,40547.14,3.316293,5,1,175168.02,310341.47,100324.14,69018.22,0.88539386,0.9469313,0.0034782479986654254
788,-0.9616902,2,0.64767396,1.8956926,1.8485757,920672.75,2.9157994,2.2482467,1.358492,1.6928155,92464.19,0.0,4.0,-8.055111e-08,1.1394327878952026,1.0072646141052246,0.9842789769172668,1.0,9620226,2017,18896.602,110387.17,-0.3140162,1.5288923,67135.11,0.64767396,0.42684692,-2,124596.94,152932.95,1.4626523,4,1,177522.28,283631.12,97954.836,92464.19,0.9162297,0.9617576,-0.0035131926565859987
789,-0.33025095,2,0.2789053,0.9457305,0.41231155,1686747.9,2.9674377,2.9674377,0.7836422,3.0903502,308091.75,4.0,0.0,8.055111e-08,1.1141347885131836,1.0203454494476318,0.9633309841156006,1.0,9619965,2017,195258.56,63260.66,-0.051345646,-0.24510533,59997.25,0.2789053,-2.9539886,-2,122065.484,26651.148,2.72894,4,1,123257.91,658351.06,308091.75,224554.98,0.99765843,0.96751654,0.003730630490384409
790,0.9345441,1,1.6004696,0.8781888,0.66111714,873229.25,0.87818885,0.8781888,1.2427734,3.0842414,148311.38,4.0,4.0,8.055111e-08,0.9391117691993713,0.9766424894332886,0.9899280071258545,1.0,9620928,2017,27702.943,41036.613,-0.6659255,-0.020923205,40128.8,-1.6004696,0.80211025,2,50989.543,74390.22,1.2452939,4,2,81165.414,341394.88,148311.38,89870.27,0.987815,0.96325785,0.0030489910938339424
