entry,DEtall01,lep_flavour,max_eta,minDeltaR_LJ_0,minDeltaR_LJ_1,Meff,DRlj00,min_DRl0b,min_DRlj_new,DPhij0MET,lead_BjetPt,lead_jet_sumBEff,sublead_jet_sumBEff,scale_nom,pileupEventWeight_090,MV2c10_70_EventWeight,JVT_EventWeight,SherpaNJetWeight,EventNumber,RunYear,MET_RefFinal_et,lep_Pt_0,lep_Eta_0,lep_Phi_0,lep_Pt_1,lep_Eta_1,lep_Phi_1,total_charge,Mll01,Ptll01,DRll01,nJets_OR_T,nJets_OR_T_MV2c10_70,HT_lep,HT_jets,lead_jetPt,sublead_jetPt,lepSFTrigTight,lepSFObjTight,weightS
3042,-1.6220162,3,1.2786508,1.2810986,1.479151,1052945.2,2.3519728,1.2810986,0.96018285,3.0068402,149446.56,4.0,0.0,7.005814e-08,1.0419081449508667,1.0350948572158813,0.9899280071258545,1.0,4500499,2016,94547.87,79827.43,-1.2786508,1.2194952,46041.31,0.3433655,2.020726,2,119249.945,116649.14,1.8091179,5,3,125868.734,359366.47,149446.56,70291.26,0.998117,0.9540669,0.002569411238391575
3043,0.5872049,1,0.7601822,1.4859595,1.6963503,978294.5,2.2663608,1.4859595,1.434054,1.5341114,61828.65,0.0,4.0,7.005814e-08,1.0419081449508667,1.0225695371627808,1.1531010866165161,1.0,4501376,2016,17155.363,120035.62,-0.17297731,-0.8684016,43425.523,-0.7601822,0.8916861,2,119316.78,119719.195,1.8554564,4,1,163461.14,244476.62,98400.7,61828.65,0.8541482,0.96015126,0.0025463769586664396
3044,-0.9970388,1,1.067298,0.70182395,1.1581367,1156572.2,0.7018239,0.70182395,1.3594398,3.076344,166029.3,4.0,0.0,7.005814e-08,0.9459123611450195,1.0057867765426636,0.9186078310012817,1.0,4500761,2016,41644.586,28516.055,-1.067298,-2.12768,27009.283,-0.070259295,-2.6861765,-2,32638.91,53376.062,1.1428056,7,2,55525.336,517028.75,166029.3,85472.05,0.90085423,0.8808033,0.0017525909168894444
3045,0.42829603,1,0.5692545,0.8226263,0.9129998,900298.75,1.9946212,0.8226263,0.47501484,0.57466084,68787.5,1.0,4.0,7.005814e-08,1.1531940698623657,0.9905074238777161,0.9409173727035522,1.0,4500249,2016,158110.73,33856.223,-0.1409585,-3.0092683,23840.254,-0.5692545,-1.7279837,-2,36108.055,46641.758,1.3509729,7,1,57696.477,418857.25,103933.086,68787.5,0.92301714,0.925061,0.0023192731392808375
3046,1.6409837,3,0.8564163,0.33632433,1.1414661,1246077.8,1.9281473,2.8626692,0.85239077,1.573376,34352.266,0.0,0.0,7.005814e-08,0.9809321165084839,0.968481719493866,0.9590473175048828,1.0,4500934,2016,103328.54,166254.02,0.7845674,-1.7946796,118982.664,-0.8564163,1.6436073,-2,379136.03,62953.527,3.2842464,5,1,285236.7,345232.88,127783.41,102422.9,0.9798753,0.96419823,0.0021755431982704077
3047,0.6483151,0,0.35613877,0.6717307,2.2580178,1007452.1,2.8898149,2.8898149,1.8985595,1.4923418,106883.0,4.0,0.0,7.005814e-08,0.6613661050796509,0.9879938364028931,1.189597725868225,1.0,4500585,2016,16137.007,67434.96,0.35613877,-2.124122,36544.816,-0.29217634,0.37083977,2,99675.31,44150.15,2.5778182,5,1,103979.78,319057.16,106883.0,78959.664,0.9948642,0.9674343,0.0018907831600096987
3048,0.014001787,3,0.5381984,0.66324574,1.0027349,726099.4,0.66324574,0.66324574,0.22723979,1.9061197,120676.33,4.0,0.0,7.005814e-08,0.8285447955131531,0.9884899854660034,0.9590473175048828,1.0,4501030,2016,43301.395,36294.547,0.5381984,0.521988,24948.082,0.5241966,2.9299238,-2,56180.4,24385.37,2.4079764,5,1,61242.63,290921.34,120676.33,62996.766,0.9659658,0.9212078,0.0017664762304606025
3049,-1.3894601,1,1.898323,1.2329195,0.8885565,995770.7,1.2329195,1.2329195,1.174762,2.5876076,120557.95,4.0,0.0,7.005814e-08,0.6613661050796509,0.9612679481506348,0.9313424825668335,1.0,4501559,2016,73965.06,60597.34,0.5088629,-0.6139994,54075.684,1.898323,0.1602225,-2,96332.29,106216.164,1.5906034,6,2,114673.02,362570.53,120557.95,60199.277,1.0062622,0.9659138,0.0014544723211520273
3050,-1.6833166,1,1.7039843,0.770982,1.246782,729987.9,0.770982,2.1842313,0.7398881,3.1134298,65729.43,0.0,4.0,7.005814e-08,1.0770055055618286,1.010334849357605,1.170896053314209,1.0,4500391,2016,90195.195,33771.98,0.020667668,2.143805,21956.86,1.7039843,2.363401,-2,51790.37,55408.383,1.6975797,5,1,55728.84,300407.66,108029.414,65729.43,0.9861942,0.9217861,0.002927213172397356
3051,-1.4410944,1,1.4402261,1.2931738,1.5769644,1108914.9,1.3406254,1.3053788,0.5377979,2.0232995,166115.48,4.0,2.0,7.005814e-08,1.109161138534546,1.0001100301742554,0.9550694823265076,1.0,4500763,2016,109601.68,42742.41,-0.00086836424,2.0664282,39638.23,1.4402261,0.2092462,-2,92286.84,49405.52,2.3507187,5,2,82380.64,366775.72,166115.48,52173.453,1.0037264,0.9686209,0.002603195009681552
